clean_comment;v1;v2;v3;v4;v5;v6;label
usr bin python;5.6954846;-1.7507981;11.903544;-1.9506919;6.183277;-0.3717146;CODE
copyright 2014 google inc all rights reserved;0.1202061;8.041611;11.110589;-4.506174;5.421583;3.0655203;IRRE
copyright 2015 tim rae;0.40077755;7.663274;11.889316;-2.48261;4.3582625;3.538865;-
licensed under the apache license version 2 0 the license;-3.6982954;0.5452442;6.392388;4.1180143;7.6785083;6.186593;META
you may not use this file except in compliance with the license;7.850748;9.677887;-5.096387;-4.6544976;12.514898;3.8418055;CODE
you may obtain a copy of the license at;12.677599;16.929207;-4.6085443;-6.7692227;11.923836;5.758606;-
http www apache org licenses license 2 0;-10.765188;4.0389953;14.393255;-4.347338;4.3873467;5.4879093;CODE
unless required by applicable law or agreed to in writing software;-1.0156611;4.7863317;-1.9579457;-0.48155603;2.7239773;-1.7792011;CODE
distributed under the license is distributed on an as is basis;-2.3628774;2.682011;-4.2400346;-1.3191669;2.3603773;0.3991773;META
without warranties or conditions of any kind either express or implied;2.2765589;12.109037;-3.0157263;-3.3323715;-1.3839281;-1.0161053;-
see the license for the specific language governing permissions and;1.8917061;3.2292325;-3.2169633;4.240653;6.5152755;4.749271;CODE
limitations under the license;10.347515;1.8523645;0.96947014;4.540894;5.7757406;4.502822;-
usr bin env python;1.0822603;0.1451409;12.580894;-4.794909;5.7582703;-1.2094219;CODE
copyright 2006 2007 google inc all rights reserved;-4.6600266;4.0029793;10.346473;-4.06616;5.649312;4.175181;IRRE
author danderson google com david anderson;-2.9683115;9.276984;14.319699;1.0395911;6.377477;6.743984;META
script for uploading files to a google code project;1.5656779;5.602665;0.06429339;0.32858455;8.313653;-1.6334971;CODE
this is intended to be both a useful script for people who want to;-2.180506;0.72800905;-7.6041236;-2.007018;9.641162;1.1182785;CODE
streamline project uploads and a reference implementation for;-4.2967944;-8.601611;-1.7023749;6.4484296;0.43975505;-5.7792277;CODE
uploading files to google code projects;2.3858266;2.8302135;3.356326;2.0040946;6.663873;-3.6733825;CODE
to upload a file to google code you need to provide a path to the;4.257947;7.7108755;-7.8186173;-4.568389;9.443441;-1.5602547;CODE
file on your local machine a small summary of what the file is a;-1.8312275;-1.834241;-7.219913;-1.2159343;5.0737863;3.7475367;-
project name and a valid account that is a member or owner of that;2.3964207;5.1549654;-6.156923;-5.5931983;0.3174405;0.6361624;-
project you can optionally provide a list of labels that apply to;5.8312087;6.4519763;-7.6801558;-6.750695;4.669438;-1.5216516;-
the file the file will be uploaded under the same name that it has;3.8454275;2.6132758;-10.153022;-4.896645;6.1396437;2.6358802;CODE
in your local filesystem that is the basename or last path;-4.0110865;-3.3602102;-5.6796274;-0.25081527;1.6950058;0.57383525;CODE
component run the script with help to get the exact syntax;-3.487461;-5.6115484;-5.9711223;1.031757;8.942464;-0.5122792;CODE
and available options;11.54985;-15.826008;-0.29196784;0.5456556;0.8274261;-0.5128561;-
note that the upload script requests that you enter your;0.19314928;-1.2466564;-6.864262;-1.8590583;7.1441817;-1.5570332;CODE
googlecode com password this is not your gmail account password;-5.394866;0.5186634;2.1911151;-2.4430141;8.5591345;3.526558;CODE
this is the password you use on googlecode com for committing to;-1.5262619;1.0512233;-4.459687;-2.1204782;7.903547;3.0377975;CODE
subversion and uploading files you can find your password by going;-4.2162323;-5.050156;-7.234419;-1.9205251;4.3798547;-0.7960202;META
to http code google com hosting settings when logged in with your;-8.47578;-10.599499;-1.0886267;-0.01713426;7.481032;-1.6405587;IRRE
gmail account if you have already committed to your project s;-4.076995;-12.898547;-5.4649463;-1.0578395;7.572534;2.1115162;CODE
subversion repository the script will automatically retrieve your;-1.6610292;-8.007732;-5.284365;4.4000793;7.7582793;-1.3740962;IRRE
credentials from there unless disabled see the output of help;-0.0897281;1.928888;-3.3610964;-2.3127236;6.621938;-0.66429365;IRRE
for details;13.01787;-17.901352;-0.6306786;0.7751923;5.608996;4.3785534;CODE
if you are looking at this script as a reference for implementing;-4.569145;-14.335632;-8.892691;-0.40984178;9.357604;-1.355844;CODE
your own google code file uploader then you should take a look at;-2.431575;4.1039405;-4.338513;-1.6044791;10.021141;-0.59145886;CODE
the upload function which is the meat of the uploader you;-1.3277388;1.3381344;-6.1030154;4.9625587;9.041769;3.9754992;CODE
basically need to build a multipart form data post request with the;-3.682522;-7.7586565;-1.6208133;2.0434256;3.9157755;-1.7637789;CODE
right fields and send it to https project googlecode com files;-6.8329926;-4.602109;1.3809546;-1.4849892;6.962622;-1.9285665;CODE
authenticate the request using http basic authentication as is;1.7841905;0.8762222;-0.8342222;0.8520317;1.3344635;-5.2940726;CODE
shown below;10.823376;-12.704274;4.4341025;-2.5001218;1.250821;3.9982705;-
licensed under the terms of the apache software license 2 0;5.0014906;16.043247;5.008819;1.7768412;7.459005;8.725022;-
http www apache org licenses license 2 0;-10.765188;4.039001;14.393257;-4.347339;4.3873434;5.4879093;CODE
questions comments feature requests and patches are most welcome;-7.3269215;9.826143;2.050304;-2.4643254;1.9758236;0.3413427;TASK
please direct all of these to the google code users group;-2.985408;1.5771198;-2.1064458;1.9503331;11.303855;2.3437867;IRRE
http groups google com group google code hosting;-9.629194;-6.3040466;9.623248;-0.64985937;7.453689;0.21249266;CODE
the login is the user part of user gmail com if the login provided;-6.716082;-12.198296;-4.6098557;1.6397415;5.347262;4.2927003;-
is in the full user domain form strip it down;-0.4450659;-2.246741;-5.0840364;-1.2363031;2.292823;-1.5306361;CODE
add the metadata about the upload first;5.561281;-6.9637356;-5.378341;3.672733;5.573281;1.7712007;TASK
now add the file itself;6.7469683;-2.8706927;-3.7673643;-2.4984;7.3133836;1.9787784;TASK
the upload server determines the mime type no need to set it;4.0611978;8.069196;-4.5486655;-1.413825;6.172381;-3.1362038;TASK
finalize the form body;9.491286;3.2183082;0.12756684;1.7659839;1.1916429;-1.8421576;CODE
read username if not specified or loaded from svn config or on;-2.0859826;1.8858526;-3.1250873;-4.2370467;3.6060507;-8.728056;CODE
subsequent tries;9.944348;-9.910808;1.1196867;1.4506471;0.23163466;4.6805596;-
read password if not loaded from svn config or on subsequent tries;-2.4444978;-2.578611;-4.398438;-1.943256;2.9809334;-6.7071123;CODE
returns 403 forbidden instead of 401 unauthorized for bad;-7.022292;0.24225216;1.5150282;-6.874918;-0.7084257;0.15624511;CODE
credentials as of 2007 07 17;0.40284523;-3.9171262;3.873291;-2.5801299;2.5978017;3.335749;-
rest for another try;0.60152155;-17.95979;-1.6177999;1.9400808;4.367637;-0.7271216;CODE
we re done;23.625395;4.6510286;1.5686439;-5.0849457;7.147011;6.2785635;CODE
force loading of kivy modules;8.115263;19.256592;5.8294935;2.1472409;5.673568;-8.088419;CODE
check for silenced build;6.967966;-0.82229155;3.426077;-1.2332702;-0.115511715;-5.9445105;CODE
force loading of all classes from factory;4.8433867;2.815168;-2.903035;-0.5480124;2.8272288;-6.9637346;CODE
directory of doc;11.794748;-8.066906;1.2117816;1.1287997;3.16952;-1.0546114;CODE
check touch file;6.084469;-13.924974;3.2316015;2.049044;-1.1466848;-4.2868075;-
avoid to rewrite the file if the content didn t change;3.0011098;3.3085732;-8.442834;-3.3480527;8.710332;0.83865494;CODE
activate kivy modules;3.0211563;6.38447;9.7052965;6.0003333;3.4021337;-5.152097;CODE
search all kivy module;0.012340467;3.3432815;6.295282;5.435797;5.1844106;-7.458584;CODE
extract packages from modules;8.3894615;6.2157917;1.0815308;-3.0406413;1.8439689;-9.288846;CODE
create index;15.041256;-4.55273;5.6191745;-0.8696498;1.4442322;-2.6992095;IRRE
create index for all packages;3.0576718;-1.5322089;-0.85825014;-1.1958647;-0.01245834;-4.0464077;IRRE
note on displaying inherited members;3.458074;-3.0082886;1.0467886;-0.36825395;0.41074064;-3.1380641;TASK
adding the directive inherited members to automodule achieves this;-2.202918;4.2766857;-0.36569002;2.5944774;3.5043144;-3.6272788;CODE
but is not always desired please see;0.20612063;1.4358308;-4.1185412;-6.3343296;6.6266594;0.8936837;META
https github com kivy kivy pull 3870;-5.838071;13.583762;14.781443;-5.837313;11.328638;4.5553927;CODE
template examples ref ref jump directly to examples;-4.638706;5.7420683;5.639065;-4.962521;2.3728685;-5.792911;-
don t take empty line;10.577971;-0.7243848;-2.4555154;-10.024301;5.3834367;-1.0464568;CODE
ref mark;10.004972;-6.668001;10.946706;-0.71442163;0.83758944;-1.1393481;-
search packages;9.400962;-11.734348;5.9257026;4.4828014;1.4657944;-2.268314;-
search modules;9.4825;-10.2090435;6.12916;3.8491833;1.0931389;-3.0728889;CODE
create index for all module;2.982785;-4.8097086;-1.1091063;-0.16635902;-0.055083588;-5.5239835;CODE
search examples;10.87741;-9.833585;5.709548;3.270179;-1.0641655;-0.9122747;-
try to found any example in framework directory;1.2571466;-1.1097959;-3.58773;-2.5136843;6.011906;-5.4834332;CODE
extract filename without directory;8.7299;6.2149377;4.7235594;-3.788675;-0.95938224;-9.648549;-
add a section;10.279958;-11.590834;0.9684976;-3.682932;2.5987666;-1.5890181;TASK
put the file in;11.248835;-5.784402;-2.410523;-1.162486;7.368963;2.5844069;-
generation finished;16.252338;-2.0689497;8.024441;-0.736562;0.4444665;0.74303246;TASK
