clean_comment;v1;v2;v3;v4;v5;v6;label
there is somewhat of a chicken and egg dependency between;0.2640842;9.35952;-2.4456122;-3.534586;1.7244071;-2.1803923;CODE
fileconfigurationserviceimpl and configurationserviceimpl;-8.01747;-14.277572;7.2150974;8.480739;-2.1184888;-8.557757;-
fileconfigurationserviceimpl throws illegalstateexception if;-4.8874516;0.31600288;-4.3409314;7.5361876;4.82141;-5.0201693;CODE
certain system properties are not set;1.466326;1.6319585;3.1829054;-1.5909052;4.440587;-4.5570455;IRRE
configurationserviceimpl will make sure that these properties;-4.679329;-2.1052475;6.811501;6.626977;2.5950837;-6.2528086;-
are set but it will do that later;-2.238181;-5.829367;16.152636;-6.7259016;0.020127269;-3.7383718;TASK
a securityexception is thrown when the destination;-1.7918084;0.72679555;5.006593;2.0450485;3.8699765;2.3174765;CODE
is not writable or we do not have access to that folder;1.1240261;14.874966;-3.8876605;-5.4657097;-3.2437534;-1.226741;OUTD
let s check config file and config folder;2.3056772;3.5575938;0.40330192;3.1839943;-5.9470463;-3.4244382;OUTD
sql statements for queries against the database;-0.36577296;-8.094051;9.914743;5.74573;-0.26875934;-0.64089644;CODE
if the file for the current database does not exist yet but;-3.0760086;0.8687817;9.743051;2.9823303;-3.1384115;6.793954;CODE
the previous properties based file is there migrate it;-3.889971;-1.8537422;8.674548;4.365075;-1.4003289;3.6174686;-
prevent hsqldb from messing with jul logger;-7.776482;8.773128;-14.875021;2.9088788;6.8215923;-5.5651426;CODE
it searches for log4j v1 and v2 which would be available via the;-7.675883;3.112934;1.8638427;0.8767122;0.67229134;-0.2710005;CODE
slf4j bridges but since hsqldb doesn t osgi import log4j they;-11.6300125;-2.6763587;-1.5855069;1.8223512;-0.1209363;-7.0552235;CODE
cannot be found;9.502912;6.2768097;-0.33320782;-5.3668633;-0.41070804;0.10585092;-
open the connection;15.151108;5.35015;-5.741885;5.5648136;-4.613406;3.9708562;CODE
then do the actual migration;8.189993;7.880328;1.4285105;1.8075414;-3.0706992;0.32707205;CODE
and finally load the mandatory system properties;1.1791402;2.7542262;3.0642965;4.031775;5.561689;-2.367656;CODE
a property with the same name as an existing system property cannot;3.4510522;14.815409;-5.5092115;3.1197436;-0.7421352;4.7419477;CODE
be set so mark it as a system property;1.2266989;3.6084933;5.202511;-1.0432837;-1.5390401;-1.9697615;IRRE
remove all properties;11.257015;-3.629697;-0.668877;-0.033950105;-1.6337004;-3.1649177;-
nothing to do the file cannot be edited outside;1.336144;9.71232;0.41472867;-1.9487126;-4.1567397;2.7772417;CODE
now get those properties and place them into the mutable and;-3.0284567;6.7184124;5.3535557;1.2680004;2.9446638;-2.4993153;CODE
immutable properties maps;-1.0204139;-5.313944;-2.623732;-0.060439706;6.7547455;-5.6155553;-
it seems that we have a valid default immutable property;-2.6127264;-0.94068384;10.818338;-5.0433216;-1.3753792;-0.63185555;CODE
in case this is an override make sure we remove previous;-2.8168032;12.595476;2.3668053;-3.3434548;-2.3657029;-3.7988412;CODE
definitions of this property;7.3863125;-0.44789892;1.6027738;4.288757;2.744719;-2.0728607;IRRE
this property is a regular mutable default property;-4.1202483;3.47825;-0.44724292;1.4673932;1.2971545;-1.5343065;CODE
in case this is an override make sure we remove previous;-2.8168032;12.595476;2.3668053;-3.3434548;-2.3657029;-3.7988412;CODE
definitions of this property;7.3863125;-0.44789892;1.6027738;4.288757;2.744719;-2.0728607;IRRE
we can function without defaults so we are just logging those;-3.0266135;7.2213607;8.806478;-8.524657;-2.120017;-7.832521;CODE
not sure if this can happen but just in case;-1.0292761;13.74251;-2.3112686;-10.563057;-1.1866735;-0.39403287;META
reg the icq account man;-1.5318018;2.9600868;-8.311583;2.7833667;2.7616363;5.4962406;-
retrieve a reference to the file access service;5.6395707;11.181059;-4.4096656;7.3798037;-3.2211885;-1.6605569;CODE
retrieve a reference to the file access service;5.6395707;11.181059;-4.4096656;7.3798037;-3.2211885;-1.6605569;CODE
get a reference to the contact list file;1.4202304;4.9884624;3.0018923;5.975154;-2.5548124;3.0479112;CODE
create the failsafe transaction and restore the file if needed;-4.2771473;3.855117;1.6835848;7.417761;1.1106511;2.166352;IRRE
load the contact list;9.443661;6.146058;-4.940986;8.739065;-1.2467113;3.725775;CODE
if the contact list does not exist create it;4.026296;11.666311;-2.0230997;0.95284724;-4.1963243;6.301326;CODE
write the contact list so that it is there for the parser;-2.3467054;5.3176026;4.7277136;3.9514217;-1.0350391;1.6190792;CODE
re create and re init the new document;-3.8150167;-4.669753;11.457187;-0.084981084;0.25277355;0.663463;IRRE
write the contact list so that it is there for the parser;-2.3467054;5.3176026;4.7277136;3.9514217;-1.0350391;1.6190792;CODE
it is not highly probable that this might happen so lets just;-2.7661006;13.360631;0.20908411;-9.60995;1.1803998;0.094671115;CODE
log it;16.318329;-8.945218;3.1811092;-6.0766983;-1.8551029;0.5396559;-
begin a new transaction;7.725285;5.177096;-4.071187;-2.152132;1.0952938;-0.5934653;CODE
really write the modification;4.8837466;-1.5959672;2.802005;0.36330175;1.8708694;2.7647402;TASK
commit the changes;10.359167;-0.58434266;0.51295;1.6829064;2.0863247;3.585479;-
make sure everyone gets released after we finish;-1.1071515;11.951944;1.3871235;-5.9798317;-0.29576355;-7.929886;TASK
write the contact list ourselves before we go out;-2.446017;-1.9561309;11.800752;-1.690121;-1.0427167;-1.4233357;CODE
if node does not exist create it;6.362895;13.464243;-5.64105;-2.6760838;-5.5989532;0.47070536;TASK
create the rootgroup;6.047384;0.78598636;-1.818573;7.611662;-1.5453092;6.412058;IRRE
we don t want to receive meta contact events triggered by ourselves;-1.3177602;10.103417;3.7325823;-6.396884;-1.4441108;-7.2449646;CODE
so we stop listening it is possible but very unlikely that other;-6.297645;-0.83773744;10.46601;-8.440954;1.9344841;-1.1247336;META
events not triggered by us are received while we re off the channel;-2.8783672;7.2201385;7.7091875;-1.5193182;-0.19999386;-2.3705125;CODE
but that would be a very bizzare case i guess we got to live;-7.465593;11.513624;-0.82737285;-10.456423;3.9230628;0.70397377;META
with the risk;15.381874;-2.8691015;2.604685;4.387404;0.4512308;7.70028;-
if there is no root there is definitely something wrong;1.2407651;13.010376;-2.0637257;-10.190166;-2.2178674;1.0443183;IRRE
really broken file will create it again;-5.3700733;-3.8244145;8.850751;-4.959322;-0.43848145;1.1312711;IRRE
write the contact list so that it is there for the parser;-2.3467054;5.3176026;4.7277136;3.9514217;-1.0350391;1.6190792;CODE
if there is root lets parse it;0.57234;6.368818;1.7004713;-4.2028503;-4.2858553;0.6372694;IRRE
parse the group node and extract all its child groups and;-1.8607777;5.2629857;1.9283674;6.0566096;-1.1099257;0.48081946;IRRE
contacts;14.95389;-3.1178186;-10.318704;-1.1776423;6.8742833;0.6555265;-
now save the contact list in case it has changed;-2.204147;6.3779087;7.1480765;1.3961716;-0.613731;0.6612483;CODE
catch everything because we must not disturb the thread;-3.8698711;6.2459383;5.4661307;-3.2835627;-1.518716;-3.840523;CODE
initializing the meta cl for a new provider with null point;-6.856959;-8.896022;9.682472;6.7867346;0.8363394;0.88891906;CODE
exceptions or others of the sort;1.5322642;-7.059557;10.223436;1.1279304;4.449328;0.9531352;CODE
now that we re done updating the contact list we can start;-1.1632199;10.171511;6.6162705;-3.2893858;-1.0866063;-2.956511;CODE
