clean_comment;v1;v2;v3;v4;v5;v6;label
there is somewhat of a chicken and egg dependency between;-14.74061;-1.9162922;11.619911;1.2592661;1.0197339;-5.586954;CODE
fileconfigurationserviceimpl and configurationserviceimpl;4.0769854;7.0028505;-5.023041;3.8253644;4.6730523;-0.57614565;-
fileconfigurationserviceimpl throws illegalstateexception if;2.3128622;5.49092;1.000174;3.8786492;5.1855354;0.8073746;CODE
certain system properties are not set;2.0786674;-2.6597602;0.57290566;2.9094725;1.2116302;-2.3391638;IRRE
configurationserviceimpl will make sure that these properties;0.6815856;-2.7992873;0.5375479;2.6206841;5.8229094;-3.2898588;-
are set but it will do that later;-0.5868633;-4.53382;7.0717545;-0.7018351;4.4362288;0.14815867;TASK
a securityexception is thrown when the destination;2.4868836;-4.0467525;0.12442251;2.6481118;-0.79034925;0.7319716;CODE
is not writable or we do not have access to that folder;-12.91288;-7.574885;3.6400461;-0.37889707;-2.7409372;5.4026985;OUTD
let s check config file and config folder;5.43881;0.6497616;-1.9844246;-3.5032406;-0.7662896;0.13062677;OUTD
sql statements for queries against the database;8.134214;-1.3610206;-2.465005;-2.2905068;0.63322914;-3.0594125;CODE
if the file for the current database does not exist yet but;-0.23928846;-4.5665436;-3.0019553;-2.5380182;-4.642548;5.9997673;CODE
the previous properties based file is there migrate it;4.869813;-1.7154105;-0.71708786;-1.8466514;0.0108061265;-0.098467804;-
prevent hsqldb from messing with jul logger;0.045028646;0.91705716;2.5371056;-1.1875888;4.816477;-2.7790432;CODE
it searches for log4j v1 and v2 which would be available via the;-3.1241953;0.32156593;-2.7119331;-1.3794222;-3.6378431;-2.2085485;CODE
slf4j bridges but since hsqldb doesn t osgi import log4j they;-11.6393175;8.192953;9.303818;0.7413898;4.814106;-3.8758411;CODE
cannot be found;12.14057;-1.2204889;1.9772892;-4.5603356;0.060891367;0.8842598;-
open the connection;12.951867;-2.0748324;-1.9750757;-0.49755615;1.7011137;2.183817;CODE
then do the actual migration;8.009989;-4.17828;0.392592;0.9647478;2.705989;-0.5224651;CODE
and finally load the mandatory system properties;2.70994;-2.8273857;-1.739519;0.4131281;1.7213547;-4.745636;CODE
a property with the same name as an existing system property cannot;-7.7115293;-5.4963207;-3.5435886;3.969751;-4.7673244;-3.7861042;CODE
be set so mark it as a system property;-2.4770882;-7.1279616;0.49427852;2.6515324;-1.7665489;-1.3285532;IRRE
remove all properties;11.608497;-0.7966419;-1.0183502;-2.5578048;0.64123404;-1.1407611;-
nothing to do the file cannot be edited outside;-4.542607;-5.2078075;4.7242947;0.104108036;1.5065625;0.9525845;CODE
now get those properties and place them into the mutable and;-7.0752673;-6.6828637;-3.0856729;0.35056603;3.6028101;-7.7503653;CODE
immutable properties maps;7.301785;2.5258954;2.334095;-0.6329339;1.4955553;-3.4808624;-
it seems that we have a valid default immutable property;-10.585702;-7.350623;6.6468925;3.0850363;1.3329742;-1.2792544;CODE
in case this is an override make sure we remove previous;-9.5382805;-7.777103;4.080968;-0.20472418;5.59585;2.339652;CODE
definitions of this property;11.254665;-0.9127329;-1.2526187;-0.260113;-1.5706563;-2.3027217;IRRE
this property is a regular mutable default property;-0.67661613;-1.1740179;1.9334569;3.72535;-2.9727657;-3.1654372;CODE
in case this is an override make sure we remove previous;-9.5382805;-7.777103;4.080968;-0.20472418;5.59585;2.339652;CODE
definitions of this property;11.254665;-0.9127329;-1.2526187;-0.260113;-1.5706563;-2.3027217;IRRE
we can function without defaults so we are just logging those;-13.778334;-7.714446;6.756321;0.06510669;9.824627;-0.080015205;CODE
not sure if this can happen but just in case;-17.658354;-7.085353;16.047823;0.5000643;8.509857;0.6300219;META
reg the icq account man;6.5414786;0.40158522;-1.3023624;2.28744;-2.6049175;-2.5365129;-
retrieve a reference to the file access service;1.3807949;-2.7393036;-8.041487;4.29844;-3.757966;-3.6889625;CODE
retrieve a reference to the file access service;1.3807949;-2.7393036;-8.041487;4.29844;-3.757966;-3.6889625;CODE
get a reference to the contact list file;1.4023434;-3.0443587;-6.5948067;5.141439;-3.9920874;-3.762412;CODE
create the failsafe transaction and restore the file if needed;-7.323892;-5.1477613;-6.7098484;5.2885027;2.7177026;-2.4676113;IRRE
load the contact list;10.739227;-2.1999884;-3.793456;1.046023;-1.5542939;-0.72789156;CODE
if the contact list does not exist create it;-3.1456277;-4.5518837;-3.3791883;0.93403596;-3.2240314;8.912617;CODE
write the contact list so that it is there for the parser;-3.5911703;-6.659894;-3.276819;0.73481476;0.6815661;-4.2796984;CODE
re create and re init the new document;1.839722;0.39779678;-2.733593;0.098581344;2.6611547;-0.4548624;IRRE
write the contact list so that it is there for the parser;-3.5911703;-6.659894;-3.276819;0.73481476;0.6815661;-4.2796984;CODE
it is not highly probable that this might happen so lets just;-15.560066;-8.217073;16.813225;-2.0568461;6.971161;-1.3215241;CODE
log it;14.251003;-0.09409156;2.2437842;-4.2493796;0.079185896;0.9397888;-
begin a new transaction;11.698257;-0.55303234;-1.0570905;-2.281079;0.050524835;0.40860996;CODE
really write the modification;9.236253;-3.2387881;2.3233411;-0.3182305;2.0436199;-0.5421509;TASK
commit the changes;13.27314;-2.5975604;-0.81863904;0.4662984;1.1449699;1.2144485;-
make sure everyone gets released after we finish;-2.320873;-5.8814726;1.4386269;-0.47451186;1.9883013;2.5994008;TASK
write the contact list ourselves before we go out;-0.32490024;-4.748884;-0.7032178;0.0949246;1.5811405;0.4592372;CODE
if node does not exist create it;4.646856;-1.7250922;-0.45871174;-3.3122072;-0.4137295;6.581275;TASK
create the rootgroup;12.887684;-0.38791767;-2.1659343;-1.76264;-0.32471868;-0.6291727;IRRE
we don t want to receive meta contact events triggered by ourselves;-9.60754;-6.6923666;4.392537;-0.7086083;4.4872813;-0.5899516;CODE
