clean_comment;v1;v2;v3;v4;v5;v6;label
there is somewhat of a chicken and egg dependency between;0.8134946153365172;-0.09834227219977588;0.021024451121815658;-0.22956219605984696;-0.17599214521230827;-0.4944099955865107;CODE
fileconfigurationserviceimpl and configurationserviceimpl;0.9136640599945857;-0.10272543777808889;0.014447142435824057;-0.13733920592186308;-0.35919066129045424;0.08109723387038306;-
fileconfigurationserviceimpl throws illegalstateexception if;0.46227831223691274;-0.06700610532411466;0.013377540384281674;-0.6337953469439661;0.11098820531923195;-0.606312676570551;CODE
certain system properties are not set;0.5827366005893304;-0.06020311988234096;0.0032466284470964737;-0.23455537127368575;0.6655462569042959;-0.3985160672056957;IRRE
configurationserviceimpl will make sure that these properties;0.649705130352337;-0.08652182085648308;0.006495837943323613;-0.17076273923906768;-0.3726154203519972;0.6343129019674911;-
are set but it will do that later;0.7057182009557749;-0.08390259909808219;0.01071346748029764;-0.38410162058026187;0.5367388694281177;0.24327911425258475;TASK
a securityexception is thrown when the destination;0.885584576484038;-0.09933786894341927;0.016573924671831025;0.1344881050994361;-0.12641744757269674;-0.4141603907235784;CODE
is not writable or we do not have access to that folder;0.6199009504432511;-0.08255196628427001;0.017783000940313664;-0.7387332982121786;0.21307935559176727;0.1321440566687174;OUTD
let s check config file and config folder;0.9207313982283826;-0.09019836746286056;0.051649451191587294;0.03310958082160836;-0.25890152390694565;-0.2707841162098115;OUTD
sql statements for queries against the database;0.8221136767037102;-0.08193626209480856;0.009898399708862067;0.5521478471885322;-0.08960399731014641;-0.06649399766110067;CODE
if the file for the current database does not exist yet but;0.8979583155598142;-0.10671499786818055;0.014888052507324272;-0.04029297241721896;-0.003692714318678896;-0.42476341517868554;CODE
the previous properties based file is there migrate it;0.9083524807545243;-0.10194510968667836;0.018075042155155107;-0.06102229372602532;-0.05646906313011151;-0.39656497922381406;-
prevent hsqldb from messing with jul logger;0.7517834658538625;-0.041417586646269045;-0.00440499480572315;0.5342274748107048;-0.205583472986087;0.3246894528596076;CODE
it searches for log4j v1 and v2 which would be available via the;0.9797614660031978;-0.10313165125844188;0.02092082030393062;0.125198249680237;-0.07984113993757419;-0.08333331970020326;CODE
slf4j bridges but since hsqldb doesn t osgi import log4j they;0.919307801441707;-0.08474924639621623;0.1467242479660435;-0.34849215500832015;-0.0655493397729659;0.020475069120093996;CODE
cannot be found;0.7284050013281694;-0.08180849637964684;0.008214463919198002;-0.36608649533976323;-0.23165957069896592;0.524385895859291;-
open the connection;0.7310700196358142;0.36576667477526076;-0.19556851934210778;0.5102668094216357;-0.16978532800637589;0.06561284822582909;CODE
then do the actual migration;0.8043749862023009;-0.09619839565701108;0.008238137171681838;0.061077107207464114;0.26636671951273727;0.5186301582555692;CODE
and finally load the mandatory system properties;0.7287888654027448;-0.07845982842026461;0.004479044070806303;0.6210949308283912;-0.27616651555573196;0.02576675646130082;CODE
a property with the same name as an existing system property cannot;0.8430424952864445;-0.0859707100597714;0.012029581616508234;0.4371779381767197;-0.3008304518859782;0.010962066811786767;CODE
be set so mark it as a system property;0.8399291875250389;-0.08362735995658765;0.010247344871912839;-0.028592756054225833;0.4976362651731991;-0.19738545645256778;IRRE
remove all properties;0.7467211541310431;-0.06114318211411125;0.036956793011383625;0.3937160322018739;-0.32928242457472434;0.41697001757666163;-
nothing to do the file cannot be edited outside;0.4360463739569543;-0.05353442849722401;0.007295183890540766;-0.22159135569438368;0.358856365497263;0.7931354140624983;CODE
now get those properties and place them into the mutable and;0.8643057299690106;0.10816897752919087;-0.08465653899117469;0.4739386269948191;0.044403159659289156;0.0867115050244109;CODE
immutable properties maps;0.7233773598336138;-0.04600584804954623;-0.012254475267898525;0.6245423672899896;-0.27377720956327756;0.09721808496808548;-
it seems that we have a valid default immutable property;0.7098846932435143;-0.0981372586258081;0.0222884406841776;-0.6485939782727937;0.05368873458302684;0.24975867814149094;CODE
in case this is an override make sure we remove previous;0.7871897417492987;-0.1021676188624104;0.02323633223810781;-0.5420883662502367;-0.2510533010659946;0.11165394845142888;CODE
definitions of this property;0.7934229953242531;-0.09388835151284416;0.010792472930383995;0.30276133203507855;-0.4930086685470293;-0.16378790868305299;IRRE
this property is a regular mutable default property;0.7071693654126001;-0.07746760914757761;0.02681023356029727;-0.18424051589135457;-0.11452195909538701;-0.6679308517506756;CODE
in case this is an override make sure we remove previous;0.7871897417492987;-0.1021676188624104;0.02323633223810781;-0.5420883662502367;-0.2510533010659946;0.11165394845142888;CODE
definitions of this property;0.7934229953242531;-0.09388835151284416;0.010792472930383995;0.30276133203507855;-0.4930086685470293;-0.16378790868305299;IRRE
we can function without defaults so we are just logging those;0.6036691044972678;-0.08074195385824195;0.009087473457448396;-0.6990802841079958;-0.01852213810634624;0.37406610880997176;CODE
not sure if this can happen but just in case;0.6897415139669649;-0.09440827192264058;0.019173583545434598;-0.6586833585509885;-0.14348582493483475;-0.24601655840192166;META
reg the icq account man;0.7942261138170824;-0.0857222553649228;0.006157795097025462;0.5677239919843993;-0.1987650015729141;0.000774403464662829;-
retrieve a reference to the file access service;0.7541040286209647;-0.075323261597799;0.0038451373174717726;0.2999239548659943;-0.06134003653616395;0.5761265107718908;CODE
retrieve a reference to the file access service;0.7541040286209647;-0.075323261597799;0.0038451373174717726;0.2999239548659943;-0.06134003653616395;0.5761265107718908;CODE
get a reference to the contact list file;0.8058929466695018;0.04887164907772199;-0.0534687561438877;0.5565491674364565;-0.07906989130070895;0.17114376721539745;CODE
create the failsafe transaction and restore the file if needed;0.8879798620450671;-0.05724649611267469;-0.01599816844400568;0.34232478516533177;-0.2614821717028316;-0.1496645490246866;IRRE
load the contact list;0.6234590313302588;-0.07283848797375628;0.00701297152398065;0.6343796081894505;-0.38674544515973563;-0.23223841739564358;CODE
if the contact list does not exist create it;0.7847194357165493;-0.07093286889726917;0.000811985815466982;-0.12273660413711004;-0.19786342257064202;-0.5700605827552548;CODE
write the contact list so that it is there for the parser;0.8822281605869184;-0.10166705449454753;0.01705677713779421;0.19076039796337932;-0.23390828692995652;-0.34632893746529925;CODE
re create and re init the new document;0.8585098557228027;0.19655242812111515;-0.11910875963571613;0.34360999608688525;-0.30277297150163895;0.020044259073010433;IRRE
write the contact list so that it is there for the parser;0.8822281605869184;-0.10166705449454753;0.01705677713779421;0.19076039796337932;-0.23390828692995652;-0.34632893746529925;CODE
it is not highly probable that this might happen so lets just;0.6237212023602742;-0.07716784398956057;0.019193830458687996;-0.62533033622131;-0.018728662417545443;-0.4618005957748136;CODE
log it;0.6830041579693876;-0.08605714269772403;0.02325614229094174;-0.6902784565387722;-0.015967485666388326;-0.22095097210222625;-
begin a new transaction;0.3344366496972062;0.8518331198544308;-0.3489840043085997;0.04774023205976942;-0.16904577836414594;0.09943351072576;CODE
really write the modification;0.792020920270933;-0.08718501240151666;0.0034003210716836638;0.5752214281570508;-0.18268338739932127;0.02893374914548183;TASK
commit the changes;0.767502664040466;-0.08358696411647724;0.0026453254914518363;0.6053936759959719;-0.18084290063427655;0.06884928995921616;-
make sure everyone gets released after we finish;0.5648138000286289;-0.07977176844705039;0.006986249756120263;-0.49667085546871814;-0.15664789134389867;0.635100407837908;TASK
write the contact list ourselves before we go out;0.8818635968665636;-0.10899208826073434;0.011007399323410074;0.2705437210092312;-0.35765232904421795;-0.09595345189200902;CODE
if node does not exist create it;0.5925101443064057;-0.029042307178793525;-0.008939866130133773;-0.5928044198115763;-0.021340952927459664;-0.5441836414863265;TASK
create the rootgroup;0.6455431669185434;0.013496513739360337;-0.04378827995223367;0.6538077227043136;-0.3899927996828893;0.04019363417491242;IRRE
we don t want to receive meta contact events triggered by ourselves;0.7907444018041873;-0.10574015291695436;0.01668516682489999;-0.5489980986817902;-0.09080668466302133;0.23155809195265067;CODE
so we stop listening it is possible but very unlikely that other;0.7365164124910644;-0.09486635636613114;0.02111677361163481;-0.6490682071605994;-0.03299854645955262;-0.16037327962669923;META
events not triggered by us are received while we re off the channel;0.8901627784904492;-0.11440814542587269;0.014192803016828296;-0.4405154189080117;-0.015581674671425825;-0.004790147349928487;CODE
but that would be a very bizzare case i guess we got to live;0.69877415816421;-0.0920304991729132;0.013743665628757427;-0.41486744521984364;-0.09995399475897472;0.5665248243346905;META
with the risk;0.7755001384614726;-0.07603699002897585;0.003106881710360346;0.5682337413174721;-0.23511483952210735;0.12099457072302772;-
if there is no root there is definitely something wrong;0.5197783396615646;-0.06663780311766854;0.017783583217224078;-0.5511407332465522;0.07670515348192014;-0.6445415708610593;IRRE
really broken file will create it again;0.9132495592511319;0.026422837622245003;-0.04713083055755809;-0.2323816904728237;-0.32996386446414283;0.013355114055602423;IRRE
write the contact list so that it is there for the parser;0.8822281605869184;-0.10166705449454753;0.01705677713779421;0.19076039796337932;-0.23390828692995652;-0.34632893746529925;CODE
if there is root lets parse it;0.54807663777929;-0.07126072787363506;0.01826150958591836;-0.5999020875005795;0.0715992357971915;-0.5737520892308953;IRRE
parse the group node and extract all its child groups and;0.879232111082296;-0.09373209983089337;0.008691280809613363;0.32773842790678487;-0.3302434937632719;0.04020457239128157;IRRE
contacts;0.8413130940333231;-0.11453229605528738;0.026164565035230437;0.06436654913601213;-0.29743922090687713;0.4310184494004048;-
now save the contact list in case it has changed;0.8450003705548316;-0.10548313508452721;0.01672360041624332;0.25863310843824344;-0.42193639505523;-0.17218187161087403;CODE
catch everything because we must not disturb the thread;0.9216691140402447;-0.1157521147309868;0.012705952427027664;-0.3648238576216623;-0.02627835403398641;0.056383082141815866;CODE
initializing the meta cl for a new provider with null point;0.9009863169997708;0.13049318328854576;-0.0792366689033915;0.2911684140935599;-0.14076526937268374;-0.24560706335156932;CODE
exceptions or others of the sort;0.6822688032669847;-0.07838366154349735;0.00408230277699531;0.6435208427168723;-0.3182835436702693;0.113688729931204;CODE
now that we re done updating the contact list we can start;0.9480484358013258;-0.12141701123894513;0.011860942848848319;-0.12802479346730306;-0.26412263940377684;0.013048923451174645;CODE
listening;0.7403260109858096;-0.11217746308648999;0.029741156453902743;-0.5806973336730804;0.052798420648169204;-0.3137706348403821;-
again;0.629561869710865;-0.07676415468010127;0.005379277247034362;-0.3662636188167638;-0.10835928623418614;0.6721900079269068;-
