clean_comment;v1;v2;v3;v4;v5;v6;label
there is somewhat of a chicken and egg dependency between;-0.49025822;-1.8300745;-1.4520196;0.39350843;0.61126465;-0.87796414;CODE
fileconfigurationserviceimpl and configurationserviceimpl;7.8275547;0.7602403;-2.489116;3.6880243;-4.38937;0.2008144;-
fileconfigurationserviceimpl throws illegalstateexception if;7.5609426;1.8974489;-4.734765;2.8246;2.293334;-0.89694977;CODE
certain system properties are not set;1.9419326;-1.7916753;-6.459298;4.57837;-0.82648134;-0.16602594;IRRE
configurationserviceimpl will make sure that these properties;6.8106065;2.4447935;-5.0937343;3.59616;-5.34467;1.388816;-
are set but it will do that later;-4.164119;1.1603727;0.65112233;3.6152227;-1.2969912;-1.535679;TASK
a securityexception is thrown when the destination;4.0468454;2.8028657;-1.4623038;-2.6911745;6.3139553;-1.350042;CODE
is not writable or we do not have access to that folder;1.0656303;-1.5528718;3.0741367;5.714238;3.9178395;-0.8718433;OUTD
let s check config file and config folder;3.978319;-1.1512368;-0.99272436;5.781912;0.29902008;-0.23466912;OUTD
sql statements for queries against the database;-1.6764058;-2.30687;-1.1702616;-3.3589137;0.6667481;2.3815317;CODE
if the file for the current database does not exist yet but;-0.62105155;0.27649313;-2.6241772;1.0852767;1.9582956;3.9706004;CODE
the previous properties based file is there migrate it;1.3745157;-1.5731174;-1.3166679;7.4371805;-2.1549888;1.3548688;-
prevent hsqldb from messing with jul logger;-0.37651733;0.75890124;-2.031579;1.0670617;3.0289073;-0.9724822;CODE
it searches for log4j v1 and v2 which would be available via the;2.7100658;-0.105846934;1.0989655;-1.0563427;-2.202186;-0.46534416;CODE
slf4j bridges but since hsqldb doesn t osgi import log4j they;3.510641;-1.569068;0.021219926;0.3561953;0.6847226;-2.467698;CODE
cannot be found;1.3487717;-1.4189835;5.7279797;4.624301;3.8387265;0.9798134;-
open the connection;1.0090655;3.1251855;6.628063;0.28690225;-1.5445566;-2.695323;CODE
then do the actual migration;-1.9807705;-0.9059876;3.440424;3.3183062;0.17445381;4.168227;CODE
and finally load the mandatory system properties;0.530791;1.0996811;-4.0335493;2.075767;-3.540904;0.037521865;CODE
a property with the same name as an existing system property cannot;2.3538427;-1.8274748;-5.0837154;3.9350955;-0.8399429;2.282074;CODE
be set so mark it as a system property;0.100602485;-0.36687845;-7.256653;4.187309;-3.5989752;-1.0026239;IRRE
remove all properties;-0.67787254;-4.039989;-5.5199347;5.0096173;-0.71644276;1.7594557;-
