"clean_comment";"label"
"there is somewhat of a chicken and egg dependency between";"CODE"
"fileconfigurationserviceimpl and configurationserviceimpl";"-"
"fileconfigurationserviceimpl throws illegalstateexception if";"CODE"
"certain system properties are not set";"IRRE"
"configurationserviceimpl will make sure that these properties";"-"
"are set but it will do that later";"TASK"
"a securityexception is thrown when the destination";"CODE"
"is not writable or we do not have access to that folder";"OUTD"
"let s check config file and config folder";"OUTD"
"sql statements for queries against the database";"CODE"
"if the file for the current database does not exist yet but";"CODE"
"the previous properties based file is there migrate it";"-"
"prevent hsqldb from messing with jul logger";"CODE"
"it searches for log4j v1 and v2 which would be available via the";"CODE"
"slf4j bridges but since hsqldb doesn t osgi import log4j they";"CODE"
"cannot be found";"-"
"open the connection";"CODE"
"then do the actual migration";"CODE"
"and finally load the mandatory system properties";"CODE"
"a property with the same name as an existing system property cannot";"CODE"
"be set so mark it as a system property";"IRRE"
"remove all properties";"-"
"nothing to do the file cannot be edited outside";"CODE"
"now get those properties and place them into the mutable and";"CODE"
"immutable properties maps";"-"
"it seems that we have a valid default immutable property";"CODE"
"in case this is an override make sure we remove previous";"CODE"
"definitions of this property";"IRRE"
"this property is a regular mutable default property";"CODE"
"in case this is an override make sure we remove previous";"CODE"
"definitions of this property";"IRRE"
"we can function without defaults so we are just logging those";"CODE"
"not sure if this can happen but just in case";"META"
"reg the icq account man";"-"
"retrieve a reference to the file access service";"CODE"
"retrieve a reference to the file access service";"CODE"
"get a reference to the contact list file";"CODE"
"create the failsafe transaction and restore the file if needed";"IRRE"
"load the contact list";"CODE"
"if the contact list does not exist create it";"CODE"
"write the contact list so that it is there for the parser";"CODE"
"re create and re init the new document";"IRRE"
"write the contact list so that it is there for the parser";"CODE"
"it is not highly probable that this might happen so lets just";"CODE"
"log it";"-"
"begin a new transaction";"CODE"
"really write the modification";"TASK"
"commit the changes";"-"
"make sure everyone gets released after we finish";"TASK"
"write the contact list ourselves before we go out";"CODE"
"if node does not exist create it";"TASK"
"create the rootgroup";"IRRE"
"we don t want to receive meta contact events triggered by ourselves";"CODE"
"so we stop listening it is possible but very unlikely that other";"META"
"events not triggered by us are received while we re off the channel";"CODE"
"but that would be a very bizzare case i guess we got to live";"META"
"with the risk";"-"
"if there is no root there is definitely something wrong";"IRRE"
"really broken file will create it again";"IRRE"
"write the contact list so that it is there for the parser";"CODE"
"if there is root lets parse it";"IRRE"
"parse the group node and extract all its child groups and";"IRRE"
"contacts";"-"
"now save the contact list in case it has changed";"CODE"
"catch everything because we must not disturb the thread";"CODE"
"initializing the meta cl for a new provider with null point";"CODE"
"exceptions or others of the sort";"CODE"
"now that we re done updating the contact list we can start";"CODE"
"listening";"-"
"again";"-"
"first resolve the group itself unless this is the meta contact list";"CODE"
"root which is already resolved";"CODE"
"in this map we store all proto groups that we find in this meta group";"CODE"
"unless this is the mcl root in order to pass them as parent";"CODE"
"references to any subgroups";"CODE"
"create the meta group";"IRRE"
"extract and load one by one all proto groups in this meta group";"CODE"
"try to find the parent proto group for the one we re";"CODE"
"currently";"-"
"parsing";"-"
"create the meta group if it is not already created";"IRRE"
"only create metacontact group if we have a matching";"IRRE"
"proto group skips creating empty groups or for non";"CODE"
"existing providers";"-"
"create the proto group";"IRRE"
"if this is not the meta contact list root and if it doesn t";"CODE"
"contain proto groups of the account we re currently loading then";"CODE"
"we don t need to recurese it since it cound contain any child";"TASK"
"contacts of the same account";"-"
"we have parsed groups now go over the children";"IRRE"
"go over every meta contact extract its details and its encapsulated";"-"
"proto contacts";"-"
"extract a map of all encapsulated proto contacts";"-"
"if the size of the map is 0 then the meta contact does not";"CODE"
"contain any contacts matching the currently parsed account";"IRRE"
"extract contact details";"-"
"catch any exception from loading contacts";"CODE"
"that will prevent loading the contact";"CODE"
"pass the parsed proto contacts to the mcl service";"IRRE"
"if we fail parsing a meta contact we should remove it so";"-"
"that";"-"
"it stops causing trouble and let other meta contacts load";"CODE"
"remove the node so that it doesn t cause us problems again";"CODE"
"hmm failed to remove the faulty node we must be";"TASK"
