clean_comment;v1;v2;v3;v4;v5;v6;label
usr bin python;12.36763;3.340878;2.269253;-1.9537377;2.1432054;1.7657965;CODE
copyright 2014 google inc all rights reserved;2.1526577;6.767061;6.978773;0.63904154;-1.4331558;1.557218;IRRE
copyright 2015 tim rae;8.586494;6.3719997;4.745592;1.0433929;-5.452227;1.014494;-
licensed under the apache license version 2 0 the license;-5.8964195;3.61605;8.534089;2.3465786;-7.482115;5.773808;META
you may not use this file except in compliance with the license;-3.6031177;-4.8194685;11.256584;-2.3308084;0.66420144;4.0855875;CODE
you may obtain a copy of the license at;0.19277847;-4.7563825;6.8518715;-0.8488908;-1.880998;4.4857864;-
http www apache org licenses license 2 0;1.7857673;11.590435;4.048489;-3.1192963;-1.866037;5.427479;CODE
unless required by applicable law or agreed to in writing software;-11.302444;-1.8444134;5.66214;-2.465194;0.69267446;-4.353475;CODE
distributed under the license is distributed on an as is basis;-4.412007;-1.9041499;6.0975494;4.5732927;-7.6500945;0.5190543;META
without warranties or conditions of any kind either express or implied;-16.180431;1.5574964;2.2490318;0.34727868;-3.1870341;-2.7315578;-
see the license for the specific language governing permissions and;-2.030907;-2.945945;6.9536176;4.0788145;-4.4176917;6.2995844;CODE
limitations under the license;10.838976;-1.2509321;3.2348053;2.885227;-3.1672018;2.2619944;-
usr bin env python;11.44528;5.2129;1.0905344;-2.1853244;4.707781;2.3273745;CODE
copyright 2006 2007 google inc all rights reserved;-1.1730009;10.21337;8.207117;1.8962219;-3.6612284;2.1001537;IRRE
author danderson google com david anderson;-3.010076;12.120319;2.5283768;2.9990585;-0.6662491;4.9950466;META
script for uploading files to a google code project;2.7859237;-1.6754283;-0.9425808;0.8290014;2.6697674;5.624345;CODE
this is intended to be both a useful script for people who want to;-10.420499;-7.1360884;9.951033;-2.4766505;-1.8814715;5.6381207;CODE
streamline project uploads and a reference implementation for;1.4564412;-0.15337183;-0.12677848;3.3474991;1.84715;4.0068955;CODE
uploading files to google code projects;8.028681;-0.8794868;-0.970796;0.6807266;3.3889272;3.7191644;CODE
to upload a file to google code you need to provide a path to the;-13.606754;-5.2448874;-0.6127361;-8.355549;2.2146876;14.02071;CODE
