clean_comment;v1;v2;v3;v4;v5;v6;label
usr bin python;-3.5545452;-3.6137733;-1.9954637;-2.9699554;-3.8459373;-5.1681294;CODE
copyright 2014 google inc all rights reserved;-5.7061577;-3.0676205;1.3447374;0.13210899;-0.50383484;-1.2042238;IRRE
copyright 2015 tim rae;-4.5352507;-3.3004754;1.5250454;0.7980326;0.067209035;-1.8180028;-
licensed under the apache license version 2 0 the license;-5.611165;-1.8895702;-1.3389499;-1.0758823;1.7591724;-0.32319254;META
you may not use this file except in compliance with the license;-7.0957212;-2.7139256;-3.5462215;-1.2694259;0.96327156;0.23771167;CODE
you may obtain a copy of the license at;-4.786196;-2.8652675;-1.8078988;-0.2909642;2.2038243;1.3846152;-
http www apache org licenses license 2 0;-4.70777;-2.688903;-0.5419212;-2.021672;1.8333395;-1.4423686;CODE
unless required by applicable law or agreed to in writing software;-4.2566733;-1.3080602;-1.1548618;2.70869;2.9817903;-1.3585562;CODE
distributed under the license is distributed on an as is basis;-2.3052208;-1.0496962;-1.2731843;-1.3630604;5.534951;1.6938909;META
without warranties or conditions of any kind either express or implied;-2.729525;2.9662635;0.24017125;1.5149791;3.5001798;-1.2568364;-
see the license for the specific language governing permissions and;-6.6814823;-3.8379023;-0.49216104;-1.0821717;2.3763936;-0.9840524;CODE
limitations under the license;-3.7086895;-1.744466;-1.671981;0.2825808;3.2682338;-0.20457575;-
usr bin env python;-4.4434023;-3.2804286;-2.2293885;-2.92909;-3.937616;-3.571847;CODE
copyright 2006 2007 google inc all rights reserved;-5.8579483;-3.293187;0.5197158;-0.035483893;0.9019597;-1.0450547;IRRE
author danderson google com david anderson;-2.5977037;-4.6705623;0.6988587;-0.36912647;0.018011604;-1.1742408;META
script for uploading files to a google code project;-2.9153366;-2.686047;0.21846095;0.7582314;-2.0615149;-0.6483255;CODE
this is intended to be both a useful script for people who want to;-4.7120895;-3.3421075;3.53355;1.3868606;-0.41309038;-0.3915949;CODE
streamline project uploads and a reference implementation for;-2.6811566;-4.8213077;1.0094814;2.1374013;1.1658803;3.224166;CODE
uploading files to google code projects;-3.4596965;-4.502;-0.26990986;0.6017086;-1.9588397;-0.24423526;CODE
to upload a file to google code you need to provide a path to the;-6.3157425;-2.7833183;-0.4144253;-0.2575749;-2.2766554;0.10312034;CODE
file on your local machine a small summary of what the file is a;-2.954743;-3.8537328;0.65359336;-0.95091593;0.17747049;-1.0151037;-
project name and a valid account that is a member or owner of that;-4.508349;-3.640335;0.6167609;-0.6848647;1.8919704;-0.5581068;-
project you can optionally provide a list of labels that apply to;-0.14468788;-4.9343944;1.6430115;1.2124045;5.480107;0.65054;-
the file the file will be uploaded under the same name that it has;-4.6372585;-1.415232;1.6658038;-0.12576602;1.2071123;2.2397108;CODE
in your local filesystem that is the basename or last path;-5.2786813;-1.6452031;1.4092617;-2.0462632;0.04847666;1.2312336;CODE
component run the script with help to get the exact syntax;-4.6810226;1.4614308;0.75367206;0.8163606;0.5635112;-0.38151473;CODE
and available options;-2.6846159;-3.3397615;4.7045164;2.0993712;3.2731388;0.4512274;-
note that the upload script requests that you enter your;-5.3513374;-2.2277853;2.4247417;1.6300298;-3.0401247;1.4601339;CODE
googlecode com password this is not your gmail account password;-3.8043377;-0.3418897;-1.0910269;-1.3485036;-1.3532215;-2.2874622;CODE
this is the password you use on googlecode com for committing to;-6.030381;-2.2393737;0.06950738;-1.5018582;-0.3399996;-2.2106705;CODE
subversion and uploading files you can find your password by going;-2.4616923;-4.2132735;2.0724566;-0.4126374;-1.4258022;-0.11780323;META
to http code google com hosting settings when logged in with your;-5.2151794;-0.48863938;2.2570508;-0.2051647;-1.5065815;2.128119;IRRE
gmail account if you have already committed to your project s;-3.583636;-3.5272472;3.191651;1.5210251;-0.39772457;-0.47092712;CODE
subversion repository the script will automatically retrieve your;-3.0042918;-2.729827;0.1473916;1.823212;-1.9939282;0.68975306;IRRE
credentials from there unless disabled see the output of help;-6.7479496;0.3823974;-0.20952874;0.92618906;-2.8005106;-0.13942435;IRRE
for details;-2.0900033;-3.1439378;4.9187965;0.97230077;-0.22379869;-1.5384201;CODE
if you are looking at this script as a reference for implementing;-3.1310384;-2.297166;2.4481394;0.50241923;2.2653792;-0.3526875;CODE
your own google code file uploader then you should take a look at;-3.709751;-3.5802047;0.839459;-0.33821478;0.16526401;1.2869883;CODE
the upload function which is the meat of the uploader you;-3.1747096;-1.922349;3.5214684;0.46204263;-0.77668864;1.7736366;CODE
basically need to build a multipart form data post request with the;-1.1996367;-0.76700956;3.943641;0.26134333;2.8381245;1.6705157;CODE
right fields and send it to https project googlecode com files;-4.357644;-1.8337225;0.34567657;-0.71493113;-2.2094984;0.5948478;CODE
authenticate the request using http basic authentication as is;-3.2744968;0.7741496;1.1128541;-0.13337067;-0.6473143;1.7250354;CODE
shown below;-3.2490938;-2.2017806;7.432038;-3.754085;0.7291159;-1.9629003;-
licensed under the terms of the apache software license 2 0;-5.2562265;-3.724406;-1.2777694;-0.55046767;2.4906633;-0.2762121;-
http www apache org licenses license 2 0;-4.7077703;-2.688903;-0.54192066;-2.021671;1.8333399;-1.4423686;CODE
questions comments feature requests and patches are most welcome;-4.5132456;-3.8076813;0.86578375;3.3058536;-0.7983436;0.5986661;TASK
please direct all of these to the google code users group;-5.4093227;-4.7699413;0.46915126;1.2045677;1.1625539;-3.0778131;IRRE
http groups google com group google code hosting;-3.9453738;-1.1008458;1.0743614;-0.21606278;-0.63977146;0.2070816;CODE
the login is the user part of user gmail com if the login provided;-3.6753905;-0.8903981;1.6199588;-0.7343827;0.022652242;-0.40706733;-
is in the full user domain form strip it down;-5.7428346;0.2260156;2.4432561;-1.2554576;-1.2038984;1.4386226;CODE
add the metadata about the upload first;-3.5778244;-1.1227653;1.9536794;1.3852414;0.8654157;4.4038997;TASK
now add the file itself;-7.377215;-2.8183508;3.046162;0.37348938;-0.75429803;0.29518157;TASK
the upload server determines the mime type no need to set it;-3.8925312;0.17571853;-1.2580721;0.53277373;-1.8357949;4.069955;TASK
finalize the form body;-3.2760968;1.1634147;3.1146948;1.2986616;1.8922743;1.5980579;CODE
read username if not specified or loaded from svn config or on;-2.297394;-1.6384295;-0.027869029;0.5755605;-0.918351;1.9427878;CODE
subsequent tries;-1.7374394;2.8982155;5.23437;6.29127;1.25306;-2.815287;-
read password if not loaded from svn config or on subsequent tries;-2.2080202;0.17143632;-0.8695218;2.02851;-1.8685572;1.9844555;CODE
returns 403 forbidden instead of 401 unauthorized for bad;-3.1438992;2.629871;-1.941769;-0.024524745;-4.580076;-0.10371782;CODE
credentials as of 2007 07 17;-3.004071;-4.660932;-1.464841;0.03779495;1.5669503;-1.4969736;-
rest for another try;-3.8609838;3.5898685;2.7200534;2.1911345;-2.8026245;-4.111534;CODE
we re done;-2.844766;-0.6582548;3.5174725;1.7275912;-1.9321761;-0.92835104;CODE
force loading of kivy modules;-4.098401;-0.86235243;0.07346534;2.6039042;-3.1921737;3.676329;CODE
check for silenced build;-4.4823895;-0.28513816;-2.217074;3.728685;-0.9849737;0.62746686;CODE
force loading of all classes from factory;-1.5160172;0.6193304;-0.29436916;4.4770904;2.3427107;3.991972;CODE
directory of doc;-4.920886;-4.03546;2.5433574;-0.06514335;0.65182847;-1.2076713;CODE
check touch file;-4.437154;0.14356087;2.991195;2.0334544;-2.9292147;-1.1584233;-
avoid to rewrite the file if the content didn t change;-3.3888466;3.2900398;1.6941342;2.7239926;-2.198796;1.4724087;CODE
