"clean_comment";"label"
"usr bin python";"CODE"
"copyright 2014 google inc all rights reserved";"IRRE"
"copyright 2015 tim rae";"-"
"licensed under the apache license version 2 0 the license";"META"
"you may not use this file except in compliance with the license";"CODE"
"you may obtain a copy of the license at";"-"
"http www apache org licenses license 2 0";"CODE"
"unless required by applicable law or agreed to in writing software";"CODE"
"distributed under the license is distributed on an as is basis";"META"
"without warranties or conditions of any kind either express or implied";"-"
"see the license for the specific language governing permissions and";"CODE"
"limitations under the license";"-"
"usr bin env python";"CODE"
"copyright 2006 2007 google inc all rights reserved";"IRRE"
"author danderson google com david anderson";"META"
"script for uploading files to a google code project";"CODE"
"this is intended to be both a useful script for people who want to";"CODE"
"streamline project uploads and a reference implementation for";"CODE"
"uploading files to google code projects";"CODE"
"to upload a file to google code you need to provide a path to the";"CODE"
"file on your local machine a small summary of what the file is a";"-"
"project name and a valid account that is a member or owner of that";"-"
"project you can optionally provide a list of labels that apply to";"-"
"the file the file will be uploaded under the same name that it has";"CODE"
"in your local filesystem that is the basename or last path";"CODE"
"component run the script with help to get the exact syntax";"CODE"
"and available options";"-"
"note that the upload script requests that you enter your";"CODE"
"googlecode com password this is not your gmail account password";"CODE"
"this is the password you use on googlecode com for committing to";"CODE"
"subversion and uploading files you can find your password by going";"META"
"to http code google com hosting settings when logged in with your";"IRRE"
"gmail account if you have already committed to your project s";"CODE"
"subversion repository the script will automatically retrieve your";"IRRE"
"credentials from there unless disabled see the output of help";"IRRE"
"for details";"CODE"
"if you are looking at this script as a reference for implementing";"CODE"
"your own google code file uploader then you should take a look at";"CODE"
"the upload function which is the meat of the uploader you";"CODE"
"basically need to build a multipart form data post request with the";"CODE"
"right fields and send it to https project googlecode com files";"CODE"
"authenticate the request using http basic authentication as is";"CODE"
"shown below";"-"
"licensed under the terms of the apache software license 2 0";"-"
"http www apache org licenses license 2 0";"CODE"
"questions comments feature requests and patches are most welcome";"TASK"
"please direct all of these to the google code users group";"IRRE"
"http groups google com group google code hosting";"CODE"
"the login is the user part of user gmail com if the login provided";"-"
"is in the full user domain form strip it down";"CODE"
"add the metadata about the upload first";"TASK"
"now add the file itself";"TASK"
"the upload server determines the mime type no need to set it";"TASK"
"finalize the form body";"CODE"
"read username if not specified or loaded from svn config or on";"CODE"
"subsequent tries";"-"
"read password if not loaded from svn config or on subsequent tries";"CODE"
"returns 403 forbidden instead of 401 unauthorized for bad";"CODE"
"credentials as of 2007 07 17";"-"
"rest for another try";"CODE"
"we re done";"CODE"
"force loading of kivy modules";"CODE"
