"TASK"	"IRRE"	"OUTD"	"META"	"CODE"	"COMMENT_SMELL"
0	0	0	0	1	"#!/usr/bin/python"
0	0	0	0	0	"#"
0	1	0	0	0	"# Copyright 2014 Google Inc. All Rights Reserved."
0	0	0	0	0	"# Copyright 2015 Tim Rae"
0	0	0	0	0	"#"
0	0	0	1	0	"# Licensed under the Apache License, Version 2.0 (the \"License\");"
0	1	0	0	2	"# you may not use this file except in compliance with the License."
0	0	0	0	0	"# You may obtain a copy of the License at"
0	0	0	0	0	"#"
0	0	0	0	1	"# http://www.apache.org/licenses/LICENSE-2.0"
0	0	0	0	0	"#"
0	0	0	0	1	"# Unless required by applicable law or agreed to in writing, software"
0	0	0	2	1	"# distributed under the License is distributed on an \"AS IS\" BASIS,"
0	0	0	0	0	"# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied."
0	0	0	0	1	"# See the License for the specific language governing permissions and"
0	0	0	0	0	"# limitations under the License."
0	0	0	0	0	"import argparse"
0	0	0	0	0	"import os"
0	0	0	0	0	"from os.path import expanduser"
0	0	0	0	0	"from apiclient.discovery import build"
0	0	0	0	0	"from apiclient.http import MediaFileUpload"
0	0	0	0	0	"import httplib2"
0	0	0	0	0	"from oauth2client import client"
0	0	0	0	0	"SERVICE_ACCOUNT_EMAIL = ("
0	0	0	0	0	"'294046724212-r3bef6kl46pb9gk0h1pl5rcjmpfrdpjl@developer.gserviceaccount.com')"
0	0	0	0	0	"PACKAGE = 'com.ichi2.anki'"
0	0	0	0	0	"IMAGES_DIR = './docs/marketing/screenshots/'"
0	0	0	0	0	"LISTINGS_DIR = './docs/marketing/localized_description/'"
0	0	0	0	0	"LANGS = ['uk', 'pt-PT', 'zh-CN', 'th', 'sl', 'ar', 'de-DE', 'ru-RU', 'hu-HU', 'zh-TW', 'fi-FI', 'el-GR', 'ja-JP', 'pt-BR', 'nl-NL', 'no-NO', 'es-ES', 'it-IT', 'id', 'pl-PL', 'cs-CZ', 'ca', 'sr', 'fr-FR', 'ro', 'en-US', 'ko-KR', 'bg', 'tr-TR', 'fa', 'sv-SE']"
0	0	0	0	0	"IMAGE_TYPES = {'phone':'phoneScreenshots', 'sevenInch':'sevenInchScreenshots', 'tenInch':'tenInchScreenshots'}"
0	0	0	0	0	"# Declare command-line flags."
0	0	0	0	0	"argparser = argparse.ArgumentParser(add_help=False)"
0	0	0	0	0	"argparser.add_argument('task', help='The task to execute: uploadImages, listApks')"
0	0	0	0	0	"def uploadImages(service, edit_id):"
0	0	0	0	0	"# Check the screenshots dir exists"
0	0	0	0	0	"if not os.path.exists(IMAGES_DIR):"
0	0	0	0	0	"raise Exception(\"The directory %s does not exist\" % IMAGES_DIR)"
0	0	0	0	0	"# Read the language code folders"
0	0	0	0	0	"subdirs = os.listdir(IMAGES_DIR)"
0	0	0	0	0	"langs = []"
0	0	0	0	0	"for l in subdirs:"
0	0	0	0	0	"if l in LANGS: langs.append(l)"
0	0	0	0	0	"if len(langs) == 0: raise Excetion (\"The directory %s is empty\" % IMAGES_DIR)"
0	0	0	0	0	"print(\"The following languages were found:\n\")"
0	0	0	0	0	"print(langs)"
0	0	0	0	0	"# Confirm that the user wants to go ahead"
0	0	0	0	0	"response = raw_input(\"This will erase all the images on Google Play that have a language and image type subfolder in %s, and replace them with the images in those subfolders. Type YES if you are sure you want to proceed\n\" % IMAGES_DIR)"
0	0	0	0	0	"if not response == 'YES':"
0	0	0	0	0	"raise Exception('uploadImages was cancelled')"
0	0	0	0	0	"# Loop through each language and image type, erase any existing images and upload"
0	0	0	0	0	"for l in langs:"
0	0	0	0	0	"for k in IMAGE_TYPES:"
0	0	0	0	0	"t = IMAGE_TYPES[k]"
0	0	0	0	0	"subdir = os.path.join(IMAGES_DIR, l, k)"
0	0	0	0	0	"if os.path.exists(subdir):"
0	0	0	0	0	"print('Erasing images for language: %s , image type: %s'%(l, t))"
0	0	0	0	0	"service.edits().images().deleteall(packageName=PACKAGE,"
0	0	0	0	0	"editId=edit_id, language=l, imageType=t).execute()"
0	0	0	0	0	"files = os.listdir(subdir)"
0	0	0	0	0	"files.sort()"
0	0	0	0	0	"cntr = 0"
0	0	0	0	0	"for f in files:"
0	0	0	0	0	"fn = os.path.join(subdir, f)"
0	0	0	0	0	"media = MediaFileUpload(fn, mimetype='image/png')"
0	0	0	0	0	"result = service.edits().images().upload(packageName=PACKAGE,"
0	0	0	0	0	"editId=edit_id, language=l, imageType=t, media_body=media).execute()"
